"top_winners";"top_losers";"date"
"SURYALAXMI";"SUVEN-RE";"01-NOV-2022"
"KTKBANK";"IIFL";"02-NOV-2022"
"SUVEN-RE";"TATAELXSI";"03-NOV-2022"
"KHAITANLTD";"NRBBEARING";"09-NOV-2022"
"NEULANDLAB";"NYKAA";"10-NOV-2022"
"DCXINDIA";"GPTINFRA";"11-NOV-2022"
"VISESHINFO";"TDPOWERSYS";"31-OCT-2022"
"JINDWORLD";"SIKKO";"28-OCT-2022"
"BOHRAIND";"KSHITIJPOL";"27-NOV-2022"
"CLOUD";"NHPC";"25-OCT-2022"
"CLOUD";"INCREDFIN";"24-OCT-2022"
"PHANTOMFX";"AXITA";"21-0CT-2022"
"GOKULAGRO";"SREIBNPNCD";"20-OCT-2022"
"DCI";"PPLPHARMA";"19-OCT-2022"
